Distance(M),Class,Standard Times,Start-2000M,2000-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
Distance(M),Class,Standard Times,,,,Start-800M,800-400M,400M-Finish
1000,Group Race,0.55.90,,,,13.05,20.60,22.25
1000,Class 1,-,,,,-,-,-
1000,Class 2,0.56.05,,,,13.10,20.60,22.35
1000,Class 3,0.56.45,,,,13.05,20.65,22.75
1000,Class 4,0.56.65,,,,13.00,20.75,22.90
1000,Class 5,0.57.00,,,,13.15,20.95,22.90
1000,Griffin Race,0.56.65,,,,13.25,20.80,22.60
Distance(M),Class,Standard Times,,,,Start-800M,800-400M,400M-Finish
1200,Group Race,1.08.15,,,,23.55,22.20,22.40
1200,Class 1,1.08.45,,,,23.60,22.25,22.60
1200,Class 2,1.08.65,,,,23.75,22.25,22.65
1200,Class 3,1.09.00,,,,23.70,22.35,22.95
1200,Class 4,1.09.35,,,,23.75,22.45,23.15
1200,Class 5,1.09.55,,,,23.85,22.40,23.30
1200,Griffin Race,1.09.90,,,,23.95,22.95,23.00
Distance(M),Class,Standard Times,,,Start-1200M,1200-800M,800-400M,400M-Finish
1400,Group Race,1.21.10,,,13.50,22.35,22.85,22.40
1400,Class 1,1.21.25,,,13.65,22.00,22.90,22.70
1400,Class 2,1.21.45,,,13.45,21.90,23.10,23.00
1400,Class 3,1.21.65,,,13.45,21.80,23.15,23.25
1400,Class 4,1.22.00,,,13.45,21.75,23.40,23.40
1400,Class 5,1.22.30,,,13.40,21.90,23.35,23.65
Distance(M),Class,Standard Times,,,Start-1200M,1200-800M,800-400M,400M-Finish
1600,Group Race,1.33.90,,,24.85,23.05,23.25,22.75
1600,Class 1,1.34.05,,,24.75,23.15,23.15,23.00
1600,Class 2,1.34.25,,,24.55,23.15,23.45,23.10
1600,Class 3,1.34.70,,,24.50,22.90,23.80,23.50
1600,Class 4,1.34.90,,,24.50,22.90,23.80,23.70
1600,Class 5,1.35.45,,,24.55,23.15,23.85,23.90
Distance(M),Class,Standard Times,,Start-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
1800,Group Race,1.47.10,,14.05,22.80,24.00,23.50,22.75
1800,Class 1,-,,-,-,-,-,-
1800,Class 2,1.47.30,,14.00,22.60,23.95,23.35,23.40
1800,Class 3,1.47.50,,13.85,22.30,23.80,24.00,23.55
1800,Class 4,1.47.85,,13.85,22.20,23.85,24.20,23.75
1800,Class 5,1.48.45,,13.95,22.25,23.85,24.20,24.20
Distance(M),Class,Standard Times,,Start-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
2000,Group Race,2.00.50,,25.95,23.90,23.90,23.55,23.20
2000,Class 1,2.01.20,,26.10,24.35,23.95,23.60,23.20
2000,Class 2,2.01.70,,26.05,24.65,24.20,23.40,23.40
2000,Class 3,2.01.90,,26.05,24.70,24.05,23.55,23.55
2000,Class 4,2.02.35,,25.85,24.40,24.40,23.95,23.75
2000,Class 5,2.02.65,,25.75,24.40,24.35,23.95,24.20
Distance(M),Class,Standard Times,Start-2000M,2000-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
2400,Group Race,2.27.00,25.60,24.50,25.35,23.85,23.75,23.95
2400,Class 1,-,-,-,-,-,-,-
2400,Class 2,-,-,-,-,-,-,-
2400,Class 3,-,-,-,-,-,-,-
2400,Class 4,-,-,-,-,-,-,-
2400,Class 5,-,-,-,-,-,-,-
